id_a,kind_a,category_a,id_b,kind_b,category_b,cosine
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_mirror_not_cheer_001,reference,mirror_not_cheer,1.0
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_open_frames_001,reference,open_frames_not_closure,0.04083358459646892
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_premises_001,reference,reasoning_from_premises,0.2814350029945311
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_sycophancy_001,reference,resist_sycophancy,0.2092485068175918
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_fog_001,reference,uncertainty_under_fog,0.035703971038701765
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_orchestrator_001,reference,user_as_orchestrator,0.1993108363267391
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_local_001,reference,local_sovereignty,0.39215145251103745
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_ecological_confusion_001,reference,ecological_confusion,0.24395585094148733
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_tradeoffs_001,reference,noncoercive_tradeoffs,0.2422859362545527
ref_mirror_not_cheer_001,reference,mirror_not_cheer,ref_sustainable_001,reference,sustainable_future,0.5135548703963938
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_mirror_not_cheer_001,contrast,mirror_not_cheer,0.1197697158716473
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_open_frames_001,contrast,open_frames_not_closure,0.2018667130763225
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_premises_001,contrast,reasoning_from_premises,0.22474351914472174
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_sycophancy_001,contrast,resist_sycophancy,0.23070859836093272
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_fog_001,contrast,uncertainty_under_fog,0.08485428698872764
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_orchestrator_001,contrast,user_as_orchestrator,0.019403484994464985
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_local_001,contrast,local_sovereignty,-0.04172333122128035
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_ecological_confusion_001,contrast,ecological_confusion,0.05333179474794527
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_tradeoffs_001,contrast,noncoercive_tradeoffs,0.09577397741069728
ref_mirror_not_cheer_001,reference,mirror_not_cheer,con_sustainable_001,contrast,sustainable_future,0.25311960852460624
ref_open_frames_001,reference,open_frames_not_closure,ref_mirror_not_cheer_001,reference,mirror_not_cheer,0.04083358459646892
ref_open_frames_001,reference,open_frames_not_closure,ref_open_frames_001,reference,open_frames_not_closure,0.9999999999999999
ref_open_frames_001,reference,open_frames_not_closure,ref_premises_001,reference,reasoning_from_premises,0.3836491074598373
ref_open_frames_001,reference,open_frames_not_closure,ref_sycophancy_001,reference,resist_sycophancy,-0.014870684937829406
ref_open_frames_001,reference,open_frames_not_closure,ref_fog_001,reference,uncertainty_under_fog,0.10962839755795725
ref_open_frames_001,reference,open_frames_not_closure,ref_orchestrator_001,reference,user_as_orchestrator,0.28431602034228065
ref_open_frames_001,reference,open_frames_not_closure,ref_local_001,reference,local_sovereignty,0.08063311557559809
ref_open_frames_001,reference,open_frames_not_closure,ref_ecological_confusion_001,reference,ecological_confusion,0.11116470162251335
ref_open_frames_001,reference,open_frames_not_closure,ref_tradeoffs_001,reference,noncoercive_tradeoffs,0.1164665262070232
ref_open_frames_001,reference,open_frames_not_closure,ref_sustainable_001,reference,sustainable_future,0.06843093862781398
ref_open_frames_001,reference,open_frames_not_closure,con_mirror_not_cheer_001,contrast,mirror_not_cheer,0.14333140895748683
ref_open_frames_001,reference,open_frames_not_closure,con_open_frames_001,contrast,open_frames_not_closure,0.22555350809763616
ref_open_frames_001,reference,open_frames_not_closure,con_premises_001,contrast,reasoning_from_premises,0.2015637690454128
ref_open_frames_001,reference,open_frames_not_closure,con_sycophancy_001,contrast,resist_sycophancy,0.14867100740049274
